sa,hi,meter,prompt,clean_text,clean_sa_slp1,hi_slp1,model_out
के वानुरक्ताः राजानः के भयात् समुपाश्रिताः मध्यस्थदोषाः के चैषामिति नित्यं विचिन्तयेत्,इस बातका ध्यान रखे कि कौन राजा मुझसे प्रेम रखते हैं? कौन भयके कारण मेरा आश्रय लिये हुए हैं? इनमेंसे कौन मध्यस्थ हैं और कौनकौन नरेश मेरे शत्रु बने हुए हैं?,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",के वानुरक्ताः राजानः के भयात् समुपाश्रिताः मध्यस्थदोषाः के चैषामिति नित्यं विचिन्तयेत्,ke vAnuraktAH rAjAnaH ke BayAt samupASritAH maDyasTadozAH ke cEzAmiti nityaM vicintayet,isa bAtakA DyAna raKe ki kOna rAjA muJase prema raKate hEM? kOna Bayake kAraRa merA ASraya liye hue hEM? inameMse kOna maDyasTa hEM Ora kOnakOna nareSa mere Satru bane hue hEM?,मां प्रेप्सन्ति नराः के च के च मां भयसंश्रिताः के च मध्यस्थसंज्ञाः के च के च मम शत्रवः ॥
यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः आत्मन्येव च संतुष्टस्तस्य कार्यं न विद्यते ॥,"परन्तु जो मनुष्य आत्माही में प्रीतिवाला और आत्माही में तृप्त तथा आत्मामें ही संतुष्ट होवे, उसके लिये कोई कर्तव्य नहीं है ॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",यस्त्वात्मरतिरेव स्यादात्मतृप्तश्च मानवः आत्मन्येव च संतुष्टस्तस्य कार्यं न विद्यते ॥,yastvAtmaratireva syAdAtmatfptaSca mAnavaH Atmanyeva ca saMtuzwastasya kAryaM na vidyate ..,"parantu jo manuzya AtmAhI meM prItivAlA Ora AtmAhI meM tfpta taTA AtmAmeM hI saMtuzwa hove, usake liye koI kartavya nahIM hE ..",न तस्य कर्तव्यं किंचिदयं योऽन्यत्प्रेतुर्यतः आत्मन्येव सुखी भूत्वा आत्मन्येव तुष्यति च ॥
 अद्य दुर्योधनस्याहं शल्यं हृदि चिरस्थितम् समूलमुदरिष्यामि बीभत्सुं पातयन् रथात् ॥,अर्जुनको रथसे गिराकर आज मैं दुर्योधनके हृदयमें चिरकालसे चुभे हुए काँटेको जड़सहित निकाल फेंकूँगा ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",अद्य दुर्योधनस्याहं शल्यं हृदि चिरस्थितम् समूलमुदरिष्यामि बीभत्सुं पातयन् रथात् ॥,adya duryoDanasyAhaM SalyaM hfdi cirasTitam samUlamudarizyAmi bIBatsuM pAtayan raTAt ..,arjunako raTase girAkara Aja mEM duryoDanake hfdayameM cirakAlase cuBe hue kA~weko jaq0asahita nikAla PeMkU~gA ..,अर्जुनं सङ्क्षिप्य रथात्तु दुर्योधनस्य चिरात् निष्पिष्याम्यङ्गारमूलं शल्यं हृदयतः परम् ॥
सर्वोपायैस्तु लोभस्य क्रोधस्य च विनिग्रहः एतत् पवित्रं ज्ञानानां तथा चैवात्मसंयमः ॥,सभी उपायोंसे लोभ और क्रोधको जीतना चाहिये यही ज्ञानोंमें पवित्र ज्ञान है और यही आत्मसंयम है ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",सर्वोपायैस्तु लोभस्य क्रोधस्य च विनिग्रहः एतत् पवित्रं ज्ञानानां तथा चैवात्मसंयमः ॥,sarvopAyEstu loBasya kroDasya ca vinigrahaH etat pavitraM jYAnAnAM taTA cEvAtmasaMyamaH ..,saBI upAyoMse loBa Ora kroDako jItanA cAhiye yahI jYAnoMmeM pavitra jYAna hE Ora yahI AtmasaMyama hE ..,लुब्धं क्रोधं तथैवैतौ सर्वोपायैर्जितव्यौ यज्ञं ज्ञानेषु पवित्रमात्मसंयम एव च ॥
सर्वथा नयनं तत्र पारिजातस्य न क्षमम्‌ इति वाच्यस्त्वया विप्र विष्णुरक्लिप्टकर्मकृत्‌॥,विप्रवर ! पारिजातका मर्त्यलोकमें ले जाया जाना सर्वथा अनुचित है यह बात आप अनायास ही महान्‌ कर्म करनेवाले भगवान्‌ विष्णु से कह दीजियेगा॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",सर्वथा नयनं तत्र पारिजातस्य न क्षमम्‌ इति वाच्यस्त्वया विप्र विष्णुरक्लिप्टकर्मकृत्‌॥,sarvaTA nayanaM tatra pArijAtasya na kzamam‌ iti vAcyastvayA vipra vizRuraklipwakarmakft‌..,vipravara ! pArijAtakA martyalokameM le jAyA jAnA sarvaTA anucita hE yaha bAta Apa anAyAsa hI mahAn‌ karma karanevAle BagavAn‌ vizRu se kaha dIjiyegA..,नैतदुचितं लोकेषु पारिजातस्य मानुषे तद्‌ ब्रूहि विष्णवे विप्र विष्णवे सुमहाक्रते ॥
गोमायुनेव सिंहानां दुर्बलेन बलीयसाम् आमिषं विघसाशेन तद्वद् राज्यं हि नो हृतम् ॥,बचे हुए अनको खानेवाले दुई गीदड़ जैसे अत्यन्त पति सिंहों का भोजन हर लें उसी प्रकार हमारे राज्यका अपहरण किया है ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",गोमायुनेव सिंहानां दुर्बलेन बलीयसाम् आमिषं विघसाशेन तद्वद् राज्यं हि नो हृतम् ॥,gomAyuneva siMhAnAM durbalena balIyasAm AmizaM viGasASena tadvad rAjyaM hi no hftam ..,bace hue anako KAnevAle duI gIdaq0a jEse atyanta pati siMhoM kA Bojana hara leM usI prakAra hamAre rAjyakA apaharaRa kiyA hE ..,सिंहोपचयमापन्नौ शलभौ यथोपचयम्‌ तथा नः कृतमाप्नोस्तु राज्यस्य हरणं यथा॥
मया सर्वं क्रमेणैव विज्ञापितमरिन्दम पश्चान्मयार्पितं देव्यै भवद्दत्ताङ्गुलीयकम् ॥,और हे शत्रुदमन ! मैंने उन्हें क्रमशः सब बातें बतला दीं इसके पश्चात् मैंने उन्हें आपकी दी हुई अंगूठी निवेदन की ॥,anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",मया सर्वं क्रमेणैव विज्ञापितमरिन्दम पश्चान्मयार्पितं देव्यै भवद्दत्ताङ्गुलीयकम् ॥,mayA sarvaM krameREva vijYApitamarindama paScAnmayArpitaM devyE BavaddattANgulIyakam ..,Ora he Satrudamana ! mEMne unheM kramaSaH saba bAteM batalA dIM isake paScAt mEMne unheM ApakI dI huI aMgUWI nivedana kI ..,ततः सर्वमशेषेण वः कथितं मया रिपु क्रमशः परिकीर्तितं मया च तब दत्तकम् ॥
जैगीषव्याय तु तथा विद्ध्धि तामेकपाटलाम्‌ एते चापि महाभागे योगाचार्यावुपस्थिते॥,"इसी प्रकार एकपाटला जैगीषव्यको ब्याही गयी थी, ये दोनों महाभाग्यवती कन्याएँ योगाचार्योकी सेवामें उपस्थित हुई हैं॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",जैगीषव्याय तु तथा विद्ध्धि तामेकपाटलाम्‌ एते चापि महाभागे योगाचार्यावुपस्थिते॥,jEgIzavyAya tu taTA vidDDi tAmekapAwalAm‌ ete cApi mahABAge yogAcAryAvupasTite..,"isI prakAra ekapAwalA jEgIzavyako byAhI gayI TI, ye donoM mahABAgyavatI kanyAe~ yogAcAryokI sevAmeM upasTita huI hEM..",एवं तथैव पाटला जैगीषव्यं च साध्वसी योगाचार्योपस्थे कन्या योगाचार्योपस्थे च सा ॥
नन्दामि वः प्रभावेण पुत्राणामिव चोदये यथाशक्त्युपगृह्णामि राष्ट्रस्यापीडया च वः,"‘जैसे पुत्रोंके अभ्युदयसे पिताको प्रसन्नता होती है, उसी प्रकार मैं आपके प्रभावसे आप लोगोंकी बढ़ती हुई समृद्धिशक्तिसे आनन्दित होता हूँ इस समय राष्ट्रपर आये हुए संकटको टालनेके लिये मैं आप लोगोंसे आपकी शक्तिके अनुसार ही धन ग्रहण करूँगा, जिससे राष्ट्रवासियोंको किसी प्रकारका कष्ट न हो",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",नन्दामि वः प्रभावेण पुत्राणामिव चोदये यथाशक्त्युपगृह्णामि राष्ट्रस्यापीडया च वः,nandAmi vaH praBAveRa putrARAmiva codaye yaTASaktyupagfhRAmi rAzwrasyApIqayA ca vaH,"‘jEse putroMke aByudayase pitAko prasannatA hotI hE, usI prakAra mEM Apake praBAvase Apa logoMkI baQ0atI huI samfdDiSaktise Anandita hotA hU~ isa samaya rAzwrapara Aye hue saMkawako wAlaneke liye mEM Apa logoMse ApakI Saktike anusAra hI Dana grahaRa karU~gA, jisase rAzwravAsiyoMko kisI prakArakA kazwa na ho",प्रसादं लभ्यते पुत्रैस्तथा वः प्रसवो मम तस्माद् भवद्भिरेतद्धि गृह्णाम्यनर्थमुन्मथम् ॥
उत्पतन्तः पतन्तश्च लवमानाश्च वानराः उद्धन्वन्तोऽपरे रेणून् समाजग्मुः समन्ततः ॥,"वे वानर सैनिक उछलते, गिरतेपड़ते, कूदतेफाँदते और धूल उड़ाते हुए चारों ओरसे एकत्र हो रहे थे ॥",anuṣṭubh,"The goal is to generate Sanskrit verse that follows the anushtup meter rules for the given input text.
RULES:
Verse Rules:
The verse contains 32 syllables/akshara and 4 padas in total.
The verse is divided into 2 lines, each containing 16 syllables.
Each line is divided into 2 padas (quartets), each containing exactly 8 syllables.
The fifth syllable of every pada must be LAGHU or short.
The sixth syllable of every pada must be GURU or long.
The seventh syllable of the second and fourth pada must be HRASVA.
The seventh syllable of the first and third pada must be DEERGHA.

Syllable Rules:
LAGHU vowels: अ, इ, उ, ऋ, ऌ
GURU vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ
HRASVA vowels: अ, इ, उ, ऋ, ऌ
DEERGHA vowels: आ, ई, ऊ, ॠ, ॡ, ए, ऐ, ओ, औ

Syllable classification rules:
- A syllable is marked Laghu/Guru and Hrasva/Deergha based on the vowel it contains.
- Any syllable containing anusvāra (ं) or visarga (ः) is always Guru.
- Any syllable followed by a conjunct consonant (saṁyuktākṣara) is always Guru.",उत्पतन्तः पतन्तश्च लवमानाश्च वानराः उद्धन्वन्तोऽपरे रेणून् समाजग्मुः समन्ततः ॥,utpatantaH patantaSca lavamAnASca vAnarAH udDanvanto'pare reRUn samAjagmuH samantataH ..,"ve vAnara sEnika uCalate, giratepaq0ate, kUdatePA~date Ora DUla uq0Ate hue cAroM orase ekatra ho rahe Te ..",उत्पतन्ति पतन्ति च कूदन्ति पतितश्च ये उद्यन्ति सन्ति संयुक्ताः सर्वतः कपिसैनिकाः ॥
